Date,Total Passenger Count
200601,2448889
200602,2223024
200603,2708778
200604,2773293
200605,2829000
200606,3071396
200607,3227605
200608,3143839
200609,2720100
200610,2834959
200611,2653887
200612,2698200
200701,2507430
200702,2304990
200703,2820085
200704,2869247
200705,3056934
200706,3263621
200707,3382382
200708,3436417
200709,2957530
200710,3129309
200711,2922500
200712,2903637
200801,2670053
200802,2595676
200803,3127387
200804,3029021
200805,3305954
200806,3453751
200807,3603946
200808,3612297
200809,3004720
200810,3124451
200811,2744485
200812,2962937
200901,2644539
200902,2359800
200903,2925918
200904,3024973
200905,3177100
200906,3419595
200907,3649702
200908,3650668
200909,3191526
200910,3249428
200911,2971484
200912,3074209
201001,2785466
201002,2515361
201003,3105958
201004,3139059
201005,3380355
201006,3612886
201007,3765824
201008,3771842
201009,3356365
201010,3490100
201011,3163659
201012,3167124
201101,2883810
201102,2610667
201103,3129205
201104,3200527
201105,3547804
201106,3766323
201107,3935589
201108,3917884
201109,3564970
201110,3602455
201111,3326859
201112,3441693
201201,3211600
201202,2998119
201203,3472440
201204,3563007
201205,3820570
201206,4107195
201207,4284443
201208,4356216
201209,3819379
201210,3844987
201211,3478890
201212,3443039
201301,3204637
201302,2966477
201303,3593364
201304,3604104
201305,3933016
201306,4146797
201307,4176486
201308,4347059
201309,3781168
201310,3910790
201311,3466878
201312,3814984
201401,3432625
201402,3078405
201403,3765504
201404,3881893
201405,4147096
201406,4321833
201407,4499221
201408,4524918
201409,3919072
201410,4059443
201411,3628786
201412,3855835
201501,3550084
201502,3248144
201503,4001521
201504,4021677
201505,4361140
201506,4558511
201507,4801148
201508,4796653
201509,4201394
201510,4374749
201511,4013814
201512,4129052
201601,3748529
201602,3543639
201603,4137679
201604,4172512
201605,4573996
201606,4922125
201607,5168724
201608,5110638
201609,4543759
201610,4571997
201611,4266481
201612,4343369
